Date,Affected pages
2026-05-18,0
2026-05-19,2
2026-05-20,2
2026-05-21,2
2026-05-22,2
2026-05-23,2
2026-05-24,2
2026-05-25,2
2026-05-26,2
2026-05-27,2
2026-05-28,2
2026-05-29,2
2026-05-30,3
2026-05-31,3
2026-06-01,3
2026-06-02,3
2026-06-03,3
2026-06-04,3
2026-06-05,3
2026-06-06,5
2026-06-07,5
2026-06-08,5
2026-06-09,6
2026-06-10,6
2026-06-11,6
2026-06-12,6
