Date,Not indexed,Indexed,Impressions
2026-05-16,,,0
2026-05-17,,,3
2026-05-18,11,4,2
2026-05-19,34,8,1
2026-05-20,34,8,6
2026-05-21,34,8,1
2026-05-22,34,8,0
2026-05-23,30,12,0
2026-05-24,30,12,2
2026-05-25,30,12,11
2026-05-26,25,17,2
2026-05-27,25,17,6
2026-05-28,25,17,5
2026-05-29,25,17,13
2026-05-30,26,17,9
2026-05-31,26,17,1
2026-06-01,26,17,13
2026-06-02,10,34,8
2026-06-03,10,34,5
2026-06-04,10,34,12
2026-06-05,10,34,36
